Iteration 0, Error: 1.000000e+00
Iteration 44000, Error: 2.342747e-06
Iteration 44100, Error: 2.325681e-06
Iteration 44200, Error: 2.308751e-06
Iteration 44300, Error: 2.291955e-06
Iteration 44400, Error: 2.275292e-06
Iteration 44500, Error: 2.258761e-06
Iteration 44600, Error: 2.242361e-06
Iteration 44700, Error: 2.226090e-06
Iteration 44800, Error: 2.209948e-06
Iteration 44900, Error: 2.193933e-06
Iteration 45000, Error: 2.178044e-06
Iteration 45100, Error: 2.162281e-06
Iteration 45200, Error: 2.146642e-06
Iteration 45300, Error: 2.131125e-06
Iteration 45400, Error: 2.115731e-06
Iteration 45500, Error: 2.100458e-06
Iteration 45600, Error: 2.085304e-06
Iteration 45700, Error: 2.070270e-06
Iteration 45800, Error: 2.055353e-06
Iteration 45900, Error: 2.040554e-06
Iteration 46000, Error: 2.025870e-06
Iteration 46100, Error: 2.011301e-06

Results:
Total iterations: 46180
Total time: 1032.181 seconds
Final error: 2.00e-06

All Steps completed.
